brand,model,model_raw,year,price_thb,mileage_km,color,gear_type,location,lot_num,grade,engine,type,date,sold_amount,num_bids,num_hall_bids,num_internet_bids,min_bid,max_bid,source,channel,model_clean,series,trim,has_price,has_mileage,has_brand,has_model,has_year,ok_for_pricing,brand_norm,model_norm,model_raw_norm,series_auto,match_text,trim_auto,trim_guess
TOYOTA,ALPHARD,,2018.0,1990000.0,120000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ALPHARD,,,True,True,True,True,True,True,TOYOTA,ALPHARD,,ALPHARD,ALPHARD ALPHARD,,
BMW,SERIES 5,,2018.0,1199000.0,38000.0,บรอนซ์เงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,SERIES 5,,,True,True,True,True,True,True,BMW,SERIES 5,,5 SERIES,SERIES 5 SERIES 5,,
TOYOTA,YARIS ATIV,,2024.0,489000.0,11000.0,ขาว,,,,,,,,,,,,,,taladrod,marketplace,YARIS ATIV,,,True,True,True,True,True,True,TOYOTA,YARIS ATIV,,YARIS,YARIS ATIV YARIS ATIV,ATIV ATIV,Ativ Ativ
HONDA,CRV,,2002.0,99000.0,194064.0,ฟ้า,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CRV,,,True,True,True,True,True,True,HONDA,CRV,,CRV,CRV CRV,,
MITSUBISHI,PAJERO,,2019.0,839000.0,72488.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,PAJERO,,,True,True,True,True,True,True,MITSUBISHI,PAJERO,,PAJERO,PAJERO PAJERO,,
MERCEDES-BENZ,C-CLASS,,2018.0,750000.0,80722.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,C-CLASS,,,True,True,True,True,True,True,BENZ,C-CLASS,,C-CLASS,C-CLASS C-CLASS,,
TOYOTA,HILUX REVO,,2020.0,375000.0,64000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HILUX REVO,,,True,True,True,True,True,True,TOYOTA,HILUX REVO,,HILUX REVO,HILUX REVO HILUX REVO,,
HONDA,CITY,,2013.0,195000.0,142500.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CITY,,,True,True,True,True,True,True,HONDA,CITY,,CITY,CITY CITY,,
TOYOTA,COMMUTER,,2017.0,959000.0,180000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,COMMUTER,,,True,True,True,True,True,True,TOYOTA,COMMUTER,,COMMUTER,COMMUTER COMMUTER,,
SUBARU,LEVORG,,2016.0,858000.0,89021.0,ฟ้า,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,LEVORG,,,True,True,True,True,True,True,SUBARU,LEVORG,,LEVORG,LEVORG LEVORG,,
BMW,SERIES 7,,2017.0,1699000.0,100793.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,SERIES 7,,,True,True,True,True,True,True,BMW,SERIES 7,,7 SERIES,SERIES 7 SERIES 7,,
FORD,RANGER,,2022.0,599000.0,36489.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,RANGER,,,True,True,True,True,True,True,FORD,RANGER,,RANGER,RANGER RANGER,,
HONDA,CITY,,2012.0,185000.0,81000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CITY,,,True,True,True,True,True,True,HONDA,CITY,,CITY,CITY CITY,,
TOYOTA,FORTUNER,,2020.0,858000.0,117115.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,FORTUNER,,,True,True,True,True,True,True,TOYOTA,FORTUNER,,FORTUNER,FORTUNER FORTUNER,,
ISUZU,D-MAX 19-ปัจจุบัน,,2024.0,639000.0,8996.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,D-MAX 19-ปัจจุบัน,,,True,True,True,True,True,True,ISUZU,D-MAX 19-ปัจจุบัน,,D-MAX,D-MAX 19-ปัจจุบัน D-MAX 19-ปัจจุบัน,19-ปัจจุบัน 19-ปัจจุบัน,19-ปัจจุบัน 19-ปัจจุบัน
HONDA,CIVIC,,2016.0,469000.0,220200.0,น้ำเงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CIVIC,,,True,True,True,True,True,True,HONDA,CIVIC,,CIVIC,CIVIC CIVIC,,
NISSAN,MARCH,,2014.0,179000.0,177000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,MARCH,,,True,True,True,True,True,True,NISSAN,MARCH,,MARCH,MARCH MARCH,,
TOYOTA,HILUX REVO,,2025.0,549000.0,9003.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HILUX REVO,,,True,True,True,True,True,True,TOYOTA,HILUX REVO,,HILUX REVO,HILUX REVO HILUX REVO,,
NISSAN,ALMERA,,2013.0,125000.0,209000.0,น้ำตาล,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ALMERA,,,True,True,True,True,True,True,NISSAN,ALMERA,,ALMERA,ALMERA ALMERA,,
TOYOTA,HILUX REVO,,2019.0,259000.0,95000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HILUX REVO,,,True,True,True,True,True,True,TOYOTA,HILUX REVO,,HILUX REVO,HILUX REVO HILUX REVO,,
