Make, Model, Sub model, year, tranmission, Buyout price, Previous Bid, Current Bid
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 Hybrid Premium Safety (MY21),2022,-,1099000,564500,617500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 Hybrid Smart (MY21),2022,-,939000,473000,524000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 Sport (MY21),2022,-,974000,499000,550500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY21),2021,-,879000,355000,394500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 Limo (MY21),2021,-,839000,344500,382500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 GR Sport (MY21),2021,AT,999000,534000,483000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 Hybrid Entry (MY19),2021,-,939000,404500,449000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 Hybrid High (MY19),2021,-,1099000,439000,488000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY19),2020,AT,879000,352500,391500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 Limo (MY19),2020,-,839000,342500,381000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 GR Sport (MY19),2020,-,999000,426500,473500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 Hybrid Entry (MY19),2020,-,939000,398000,442000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 Hybrid High (MY19),2020,AT,1099000,458000,480500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (CNG) (MY16),2019,-,969000,332500,369500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY19),2019,AT,869000,325000,319000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 J (MY16) Man,2019,-,799000,288500,320500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 ESport (MY16),2019,-,944000,338500,376000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 V (Navi) T-Connect (MY18),2019,-,1093000,386000,429000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (CNG) (MY16),2018,-,969000,285000,316500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY16),2018,AT,869000,290000,292500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 ESport (MY16),2018,AT,944000,327000,335500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 ESport Option (MY16),2018,-,979000,321500,357000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 V (Navi) (MY16),2018,-,1079000,331500,368500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (CNG) (MY16),2017,-,969000,263000,292500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY16),2017,AT,869000,276000,279500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 J (MY16) Man,2017,-,799000,238500,265000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 ESport (MY16),2017,AT,939000,228000,327500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 V (Navi) (MY16),2017,-,1079000,329000,365500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (CNG) (MY14),2016,AT,889000,207000,230000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY14),2016,AT,829000,178000,227500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 ESPORT (MY14),2016,AT,899000,282000,261500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 G (MY14),2016,AT,979000,236000,271000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 V (Navi) (MY14),2016,-,1069000,274000,304500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (CNG) (MY14),2015,-,889000,199000,221000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY14),2015,AT,829000,162000,222500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 E (MNC) (MY10),2015,AT,839000,196000,217500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 ESPORT (MY14),2015,AT,899000,191000,248000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 V (Navi) (MY14),2015,AT,1069000,262500,291500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (CNG) (MY14),2014,AT,859000,94000,193500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY14),2014,AT,819000,196000,195500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 E (MY14),2014,AT,829000,142000,196500
